number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
3220,vulyk_1_458,Васильченко Ірина Петрівна,суддя,,,2013,159780,187619,159780,187587,0,0,0,0,0,102,0,0,0,0,0,0,0,116,0,0,0,0,1,0,0,0,Audi;;;;;,;;;;;,2012;;;;;,;;;;;
3221,vulyk_1_592,Бжассо Наталя Володимирівна,суддя Одеського окружного адміністративного суду,Адміністративний місцевий суд,Одеська область,2013,173340,412658,173340,412658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0.09,0,1,0,0,;;;;;,Toyota Carina;;;;;,;;;;;,2000;;;;;
3222,vulyk_1_340,Макаренко Анатолій Вікторович,заступник Голови Державної фіскальної служби України,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Загальнодержавний регіон,2013,34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,60,325,0,36,1,3,0,0,Toyota Prado;;;;;,Honda Accord;Volkswagen Golf;Hyundai Tucson;;;,2007;;;;;,2008;2011;2009;;;
3223,vulyk_1_1481,Гавіловський Юрій Володимирович,заступник начальника відділу процесуального керівництва при провадженні досудового розслідування органами внутрішніх справ та підтримання державного обвинувачення управління нагляду за додержанням законів у кримінальному провадженні прокуратури Тернопільської області,Прокуратура,Тернопільська область,2014,108700,130,108700,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3224,vulyk_1_1431,Омелян Марія Володимирівна,прокурор прокуратури Рокитнянського району Київської області,Прокуратура,Київська область,2014,84799,954588,78084,0,0,0,0,0,6215,0,500,0,0,0,48152,0,0,0,0,205,21569,42060,0,1,0,0,;;;;;,Skoda Octavia A5;;;;;,;;;;;,2012;;;;;
3225,vulyk_1_1311,Однорог Віта Валеріївна,прокурор прокуратури Тетіївського району,Прокуратура,Київська область,2014,70940,0,70940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3226,vulyk_1_1765,Кандзьоба Максим Сергійович,старший прокурор прокуратури м. Біла Церква,Прокуратура,Київська область,2014,92000,12912,92000,0,0,0,0,0,0,0,0,12912,0,0,0,0,62.1,0,0,0,0,0.12,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3227,vulyk_1_1544,Попович Ірина Іванівна,заступник начальника відділу процесуального керівництва при провадженні досудового розслідування органами внутрішніх справ та підтримання державного обвинувачення прокуратури Закарпатської області,Прокуратура,Закарпатська область,2014,148443,0,135855,0,0,0,0,0,0,0,0,0,0,0,0,0,99.27,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3228,vulyk_1_1683,Декайло Олександр Петрович,слідчий в особливо важливих справах слідчого відділу прокуратури Тернопільської області,Прокуратура,Тернопільська область,2014,110212,0,100255,0,0,0,0,0,9957,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Toyota Avensis;;;;;,;;;;;,2010;;;;;,;;;;;
3229,vulyk_1_129,Колісник Іван Іванович,суддя господарського суду Дніпропетровської області,Господарський місцевий суд,Дніпропетровська область,2013,169914,2517,169914,2517,0,0,0,0,0,0,0,0,0,0,0,0,63.9,0,0,0,0,0,3,0,0,0,Mitsubishi Lancer;ВАЗ 21093;ВАЗ 21033;;;,;;;;;,2007;1999;1982;;;,;;;;;
3230,vulyk_1_1119,Помаз Інна Володимирівна,"провідний спеціаліст відділу статистики, ведення Єдиного реєстру досудових розслідувань прокуратури Полтавської області",Прокуратура,Полтавська область,2014,63562,55000,60567,55000,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3231,vulyk_1_989,Туріс Мілан Іванович,старший прокурор прокуратури міста Ірпеня Київської області,Прокуратура,Київська область,2014,51504.78,0,47036.45,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
